			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Fire Shield	Fire Shield	4	 	 	x	 	32	28	24	20	0	15	30	45	60	4	2	4	13	4	12	0	0	10	15	30	45	60	"Cast on a friendly unit, it does not provide any additional protection, but any enemy attacking through the fire shield will suffer damage equal to a portion of what it inflicts.

{None:} 15% 
Basic: 30% 
Advanced: 45% 
Expert: 60% "	"Cast on a friendly unit, it does not provide any additional protection, but any enemy attacking through the fire shield will suffer damage equal to a portion of what it inflicts.

None: 15% 
{Basic:} 30% 
Advanced: 45% 
Expert: 60% "	"Cast on a friendly unit, it does not provide any additional protection, but any enemy attacking through the fire shield will suffer damage equal to a portion of what it inflicts.

None: 15% 
Basic: 30% 
{Advanced:} 45% 
Expert: 60% "	"Cast on a friendly unit, it does not provide any additional protection, but any enemy attacking through the fire shield will suffer damage equal to a portion of what it inflicts.

None: 15% 
Basic: 30% 
Advanced: 45% 
{Expert:} 60% "	 COMBAT_SPELL|CREATURE_TARGET
Protection from Air	Prot. from Air	1	 	 	 	x	8	7	6	5	0	75	50	25	25	5	3	8	4	3	3	5	4	4	5	5	5	10	"Protects the selected unit, reducing damage received from Air spells by fixed percentage.

{None:} 25% 
Basic: 50% 
Advanced: 75% 
Expert: 75%, affects all friendly units "	"Protects the selected unit, reducing damage received from Air spells by fixed percentage.

None: 25% 
{Basic:} 50% 
Advanced: 75% 
Expert: 75%, affects all friendly units "	"Protects the selected unit, reducing damage received from Air spells by fixed percentage.

None: 25% 
Basic: 50% 
{Advanced:} 75% 
Expert: 75%, affects all friendly units "	"Protects the selected unit, reducing damage received from Air spells by fixed percentage.

None: 25% 
Basic: 50% 
Advanced: 75% 
{Expert:} 75%, affects all friendly units "	 COMBAT_SPELL|CREATURE_TARGET_2
Protection from Fire	Prot. from Fire	1	 	 	x	 	8	7	6	5	0	75	50	25	25	2	1	2	7	2	6	5	3	5	5	5	5	10	"Protects the selected unit, reducing damage received from Fire spells by fixed percentage.

{None:} 25% 
Basic: 50% 
Advanced: 75% 
Expert: 75%, affects all friendly units "	"Protects the selected unit, reducing damage received from Fire spells by fixed percentage.

None: 25% 
{Basic:} 50% 
Advanced: 75% 
Expert: 75%, affects all friendly units "	"Protects the selected unit, reducing damage received from Fire spells by fixed percentage.

None: 25% 
Basic: 50% 
{Advanced:} 75% 
Expert: 75%, affects all friendly units "	"Protects the selected unit, reducing damage received from Fire spells by fixed percentage.

None: 25% 
Basic: 50% 
Advanced: 75% 
{Expert:} 75%, affects all friendly units "	 COMBAT_SPELL|CREATURE_TARGET_2
Protection from Water	Protection from Water	1	 	x	 	 	8	7	6	5	0	75	50	25	25	7	7	4	2	5	2	3	5	4	5	5	5	10	"Protects the selected unit, reducing damage received from Water spells by fixed percentage.

{None:} 25% 
Basic: 50% 
Advanced: 75% 
Expert: 75%, affects all friendly units "	"Protects the selected unit, reducing damage received from Water spells by fixed percentage.

None: 25% 
{Basic:} 50% 
Advanced: 75% 
Expert: 75%, affects all friendly units "	"Protects the selected unit, reducing damage received from Water spells by fixed percentage.

None: 25% 
Basic: 50% 
{Advanced:} 75% 
Expert: 75%, affects all friendly units "	"Protects the selected unit, reducing damage received from Water spells by fixed percentage.

None: 25% 
Basic: 50% 
Advanced: 75% 
{Expert:} 75%, affects all friendly units "	 COMBAT_SPELL|CREATURE_TARGET_2
Protection from Earth	Protection from Earth	1	x	 	 	 	8	7	6	5	0	75	50	25	25	4	7	4	5	9	7	5	6	5	5	5	5	10	"Protects the selected unit, reducing damage received from Earth spells by fixed percentage.

{None:} 25% 
Basic: 50% 
Advanced: 75% 
Expert: 75%, affects all friendly units "	"Protects the selected unit, reducing damage received from Earth spells by fixed percentage.

None: 25% 
{Basic:} 50% 
Advanced: 75% 
Expert: 75%, affects all friendly units "	"Protects the selected unit, reducing damage received from Earth spells by fixed percentage.

None: 25% 
Basic: 50% 
{Advanced:} 75% 
Expert: 75%, affects all friendly units "	"Protects the selected unit, reducing damage received from Earth spells by fixed percentage.

None: 25% 
Basic: 50% 
Advanced: 75% 
{Expert:} 75%, affects all friendly units "	 COMBAT_SPELL|CREATURE_TARGET_2
Anti-Magic	Anti-Magic	3	x	 	 	 	24	21	18	15	0	3	4	5	6	11	20	12	14	15	20	15	16	9	15	20	25	30	"Protects the selected unit from all spells of a certain level.

{None:} levels 1-2 
Basic: levels 1-3 
Advanced: levels 1-4 
Expert: levels 1-5 "	"Protects the selected unit from all spells of a certain level.

None: levels 1-2 
{Basic:} levels 1-3 
Advanced: levels 1-4 
Expert: levels 1-5 "	"Protects the selected unit from all spells of a certain level.

None: levels 1-2 
Basic: levels 1-3 
{Advanced:} levels 1-4 
Expert: levels 1-5 "	"Protects the selected unit from all spells of a certain level.

None: levels 1-2 
Basic: levels 1-3 
Advanced: levels 1-4 
{Expert:} levels 1-5 "	 COMBAT_SPELL|CREATURE_TARGET
Dispel	Dispel	2	 	x	 	 	16	14	12	10	0	0	0	0	0	9	9	5	3	8	2	4	7	7	5	10	15	30	"Removes all spell effects from a creature.

{None:} can be used on a friendly creature 
Basic: can be used on a friendly creature 
Advanced: can be used on any creature
Expert: affects all creatures and the battlefield"	"Removes all spell effects from a creature.

None: can be used on a friendly creature 
{Basic:} can be used on a friendly creature 
Advanced: can be used on any creature
Expert: affects all creatures and the battlefield"	"Removes all spell effects from a creature.

None: can be used on a friendly creature 
Basic: can be used on a friendly creature 
{Advanced:} can be used on any creature
Expert: affects all creatures and the battlefield"	"Removes all spell effects from a creature.

None: can be used on a friendly creature 
Basic: can be used on a friendly creature 
Advanced: can be used on any creature
{Expert:} affects all creatures and the battlefield"	 COMBAT_SPELL|CREATURE_TARGET_1
Magic Mirror	Magic Mirror	2	 	 	 	x	16	14	12	10	0	20	40	60	80	8	5	11	5	5	4	7	6	6	5	10	15	20	"Reflects hostile spells towards a random enemy creature with a certain chance.

{None:} 20% 
Basic: 40% 
Advanced: 60% 
Expert: 80% "	"Reflects hostile spells towards a random enemy creature with a certain chance.

None: 20% 
{Basic:} 40% 
Advanced: 60% 
Expert: 80% "	"Reflects hostile spells towards a random enemy creature with a certain chance.

None: 20% 
Basic: 40% 
{Advanced:} 60% 
Expert: 80% "	"Reflects hostile spells towards a random enemy creature with a certain chance.

None: 20% 
Basic: 40% 
Advanced: 60% 
{Expert:} 80% "	 COMBAT_SPELL|CREATURE_TARGET
Cure	Cure	1	 	x	 	 	8	7	6	5	15	30	60	90	90	7	7	4	2	5	2	3	5	4	5	10	15	30	"                                                                                                                                   
                                                                                                                                   
Removes all negative spell effects and heals the selected unit.
                                                                                                                                   
{None:} 15 * Power + 30 hit points healed 
Basic: 15 * Power + 60 hit points healed 
Advanced: 15 * Power + 90 hit points healed 
Expert: 15 * Power + 90 hit points healed, affects all friendly units"	"                                                                                                                                   
Removes all negative spell effects and heals the selected unit.              
                                                                                                                                   
None: 15 * Power + 30 hit points healed 
{Basic:} 15 * Power + 60 hit points healed 
Advanced: 15 * Power + 90 hit points healed 
Expert: 15 * Power + 90 hit points healed, affects all friendly units"	"                                                                                                                                   
Removes all negative spell effects and heals the selected unit.              
                                                                                                                                   
None: 15 * Power + 30 hit points healed 
Basic: 15 * Power + 60 hit points healed 
{Advanced:} 15 * Power + 90 hit points healed 
Expert: 15 * Power + 90 hit points healed, affects all friendly units"	"                                                                                                                                   
Removes all negative spell effects and heals the selected unit.              
                                                                                                                                   
None: 15 * Power + 30 hit points healed 
Basic: 15 * Power + 60 hit points healed 
Advanced: 15 * Power + 90 hit points healed 
{Expert:} 15 * Power + 90 hit points healed, affects all friendly units"	 COMBAT_SPELL|CREATURE_TARGET_1
Resurrection	Resurrection	4	x	 	 	 	32	28	24	20	60	120	240	360	480	11	20	13	14	0	20	0	0	10	40	50	80	90	"                                                                                                                                   
Resurrects living creatures in the selected group by restoring a fixed number of hit points to the target.

{None:} 60 * Power + 120 hit points 
Basic: 60 * Power + 240 hit points 
Advanced: 60 * Power + 360 hit points permanently 
Expert: 60 * Power + 480 hit points permanently "	"                                                                                                                                   
Resurrects living creatures in the selected group by restoring a fixed number of hit points to the target.

None: 60 * Power + 120 hit points 
{Basic:} 60 * Power + 240 hit points 
Advanced: 60 * Power + 360 hit points permanently 
Expert: 60 * Power + 480 hit points permanently "	"                                                                                                                                   
Resurrects living creatures in the selected group by restoring a fixed number of hit points to the target.

None: 60 * Power + 120 hit points 
Basic: 60 * Power + 240 hit points 
{Advanced:} 60 * Power + 360 hit points permanently 
Expert: 60 * Power + 480 hit points permanently "	"                                                                                                                                   
Resurrects living creatures in the selected group by restoring a fixed number of hit points to the target.

None: 60 * Power + 120 hit points 
Basic: 60 * Power + 240 hit points 
Advanced: 60 * Power + 360 hit points permanently 
{Expert:} 60 * Power + 480 hit points permanently "	 COMBAT_SPELL|CREATURE_TARGET
Animate Dead	Animate Dead	4	x	 	 	 	32	28	24	20	60	120	240	360	480	0	0	0	0	23	0	0	0	0	60	70	80	90	"Permanently re-animates any destroyed undead in the selected group by restoring a fixed number of hit points to the target.

{None:} 60 * Power + 120 hit points 
Basic: 60 * Power + 240 hit points 
Advanced: 60 * Power + 360 hit points 
Expert: 60 * Power + 480 hit points "	"Permanently re-animates any destroyed undead in the selected group by restoring a fixed number of hit points to the target.

None: 60 * Power + 120 hit points 
{Basic:} 60 * Power + 240 hit points 
Advanced: 60 * Power + 360 hit points 
Expert: 60 * Power + 480 hit points "	"Permanently re-animates any destroyed undead in the selected group by restoring a fixed number of hit points to the target.

None: 60 * Power + 120 hit points 
Basic: 60 * Power + 240 hit points 
{Advanced:} 60 * Power + 360 hit points 
Expert: 60 * Power + 480 hit points "	"Permanently re-animates any destroyed undead in the selected group by restoring a fixed number of hit points to the target.

None: 60 * Power + 120 hit points 
Basic: 60 * Power + 240 hit points 
Advanced: 60 * Power + 360 hit points 
{Expert:} 60 * Power + 480 hit points "	 COMBAT_SPELL|CREATURE_TARGET
Sacrifice	Sacrifice	2	 	 	x	 	16	14	12	10	1	0	3	6	9	4	2	4	13	4	12	0	0	10	1	1	1	1	"Destroys a friendly creature group in order to resurrect a dead group, restoring a certain amount of hit points.

{None:} (Power + Health) * Number of creatures       
Basic: (Power + Health + 3) * Number of creatures 
Advanced: (Power + Health + 6) * Number of creatures 
Expert: (Power + Health + 9) * Number of creatures "	"Destroys a friendly creature group in order to resurrect a dead group, restoring a certain amount of hit points.

None: (Power + Health) * Number of creatures       
{Basic:} (Power + Health + 3) * Number of creatures 
Advanced: (Power + Health + 6) * Number of creatures 
Expert: (Power + Health + 9) * Number of creatures "	"Destroys a friendly creature group in order to resurrect a dead group, restoring a certain amount of hit points.

None: (Power + Health) * Number of creatures       
Basic: (Power + Health + 3) * Number of creatures 
{Advanced:} (Power + Health + 6) * Number of creatures 
Expert: (Power + Health + 9) * Number of creatures "	"Destroys a friendly creature group in order to resurrect a dead group, restoring a certain amount of hit points.

None: (Power + Health) * Number of creatures       
Basic: (Power + Health + 3) * Number of creatures 
Advanced: (Power + Health + 6) * Number of creatures 
{Expert:} (Power + Health + 9) * Number of creatures "	 COMBAT_SPELL|CREATURE_TARGET
Bless	Bless	2	 	x	 	 	16	14	12	10	0	0	0	1	1	10	9	5	3	0	2	4	7	6	10	15	20	40	"                                                                                                                                   
Causes the selected friendly unit to inflict maximum damage in combat.
                                                                                                                                   
{None:} -
Basic: -
Advanced: increases creatures' max. damage by 1
Expert: increases creatures' max. damage by 1, affects all friendly units"	"                                                                                                                                   
Causes the selected friendly unit to inflict maximum damage in combat.
                                                                                                                                   
None: -
{Basic:} -
Advanced: increases creatures' max. damage by 1
Expert: increases creatures' max. damage by 1, affects all friendly units"	"                                                                                                                                   
Causes the selected friendly unit to inflict maximum damage in combat.
                                                                                                                                   
None: -
Basic: -
{Advanced:} increases creatures' max. damage by 1
Expert: increases creatures' max. damage by 1, affects all friendly units"	"                                                                                                                                   
Causes the selected friendly unit to inflict maximum damage in combat.
                                                                                                                                   
None: -
Basic: -
Advanced: increases creatures' max. damage by 1
{Expert:} increases creatures' max. damage by 1, affects all friendly units"	 COMBAT_SPELL|CREATURE_TARGET_2
Curse	Curse	2	 	 	x	 	16	14	12	10	0	0	0	1	1	0	2	3	10	3	9	6	4	6	10	15	20	40	"                                                                                                                                   
Causes the selected enemy unit to inflict minimum damage in combat.
                                                                                                                                   
{None:} -
Basic: -
Advanced: reduces creatures' minimum damage by 1
Expert: reduces creatures' minimum damage by 1, affects all enemy units"	"                                                                                                                                   
Causes the selected enemy unit to inflict minimum damage in combat.
                                                                                                                                   
None: -
{Basic}: -
Advanced: reduces creatures' minimum damage by 1
Expert: reduces creatures' minimum damage by 1, affects all enemy units"	"                                                                                                                                   
Causes the selected enemy unit to inflict minimum damage in combat.
                                                                                                                                   
None: -
Basic: -
{Advanced:} reduces creatures' minimum damage by 1
Expert: reduces creatures' minimum damage by 1, affects all enemy units"	"                                                                                                                                   
Causes the selected enemy unit to inflict minimum damage in combat.
                                                                                                                                   
None: -
Basic: -
Advanced: reduces creatures' minimum damage by 1
{Expert:} reduces creatures' minimum damage by 1, affects all enemy units"	 COMBAT_SPELL|CREATURE_TARGET_2
Bloodlust	Bloodlust	1	 	 	x	 	8	7	6	5	0	2	4	6	6	2	1	2	7	2	6	5	3	5	5	10	15	30	"Increases attack of the selected friendly unit in melee.

{None:} by 2 
Basic: by 4 
Advanced: by 6 
Expert: by 6, affects all friendly units"	"Increases attack of the selected friendly unit in melee.

None: by 2 
{Basic:} by 4 
Advanced: by 6 
Expert: by 6, affects all friendly units"	"Increases attack of the selected friendly unit in melee.

None: by 2 
Basic: by 4 
{Advanced:} by 6 
Expert: by 6, affects all friendly units"	"Increases attack of the selected friendly unit in melee.

None: by 2 
Basic: by 4 
Advanced: by 6 
{Expert:} by 6, affects all friendly units"	 COMBAT_SPELL|CREATURE_TARGET_2
Precision	Precision	1	 	 	 	x	8	7	6	5	0	2	4	6	6	5	3	8	4	3	3	5	4	4	5	10	15	30	"Increases attack of the selected friendly unit in range.

{None:} by 2 
Basic: by 4 
Advanced: by 6 
Expert: by 6, affects all friendly units"	"Increases attack of the selected friendly unit in range.

None: by 2 
{Basic:} by 4 
Advanced: by 6 
Expert: by 6, affects all friendly units"	"Increases attack of the selected friendly unit in range.

None: by 2 
Basic: by 4 
{Advanced:} by 6 
Expert: by 6, affects all friendly units"	"Increases attack of the selected friendly unit in range.

None: by 2 
Basic: by 4 
Advanced: by 6 
{Expert:} by 6, affects all friendly units"	 COMBAT_SPELL|CREATURE_TARGET_2
Weakness	Weakness	2	 	x	 	 	16	14	12	10	0	3	6	9	9	9	9	5	3	8	2	4	7	6	10	15	20	40	"Reduces attack of the selected enemy unit.

{None:} by 3 
Basic: by 6 
Advanced: by 9 
Expert: by 9, affects all enemy units "	"Reduces attack of the selected enemy unit.

None: by 3 
{Basic:} by 6 
Advanced: by 9 
Expert: by 9, affects all enemy units "	"Reduces attack of the selected enemy unit.

None: by 3 
Basic: by 6 
{Advanced:} by 9 
Expert: by 9, affects all enemy units "	"Reduces attack of the selected enemy unit.

None: by 3 
Basic: by 6 
Advanced: by 9 
{Expert:} by 9, affects all enemy units "	 COMBAT_SPELL|CREATURE_TARGET_2
Stone Skin	Stone Skin	2	x	 	 	 	16	14	12	10	0	3	6	9	9	5	9	6	7	11	10	8	8	6	10	15	20	40	"Increases defense of the selected friendly unit.

{None:} by 3 
Basic: by 6 
Advanced: by 9 
Expert: by 9, affects all friendly units "	"Increases defense of the selected friendly unit.

None: by 3 
{Basic:} by 6 
Advanced: by 9 
Expert: by 9, affects all friendly units "	"Increases defense of the selected friendly unit.

None: by 3 
Basic: by 6 
{Advanced:} by 9 
Expert: by 9, affects all friendly units "	"Increases defense of the selected friendly unit.

None: by 3 
Basic: by 6 
Advanced: by 9 
{Expert:} by 9, affects all friendly units "	 COMBAT_SPELL|CREATURE_TARGET_2
Disrupting Ray	Disrupting Ray	4	 	 	 	x	32	28	24	20	0	8	12	16	20	10	5	14	7	6	5	0	0	8	15	30	45	60	"Reduces defence of the selected enemy unit. A unit can be targeted multiple times for cumulative effect. Can not be dispelled.

{None:} by 8 
Basic: by 12 
Advanced: by 16 
Expert: by 20 "	"Reduces defence of the selected enemy unit. A unit can be targeted multiple times for cumulative effect. Can not be dispelled.

None: by 8 
{Basic:} by 12 
Advanced: by 16 
Expert: by 20 "	"Reduces defence of the selected enemy unit. A unit can be targeted multiple times for cumulative effect. Can not be dispelled.

None: by 8 
Basic: by 12 
{Advanced:} by 16 
Expert: by 20 "	"Reduces defence of the selected enemy unit. A unit can be targeted multiple times for cumulative effect. Can not be dispelled.

None: by 8 
Basic: by 12 
Advanced: by 16 
{Expert:} by 20 "	 COMBAT_SPELL|CREATURE_TARGET_2
Prayer	Prayer	5	 	x	 	 	40	35	30	25	0	4	5	6	6	0	19	10	0	0	5	0	0	12	25	30	35	70	"Increases attack, defense and speed of the selected friendly unit.

{None:} by 4 
Basic: by 5 
Advanced: by 6 
Expert: by 6, affects all friendly units "	"Increases attack, defense and speed of the selected friendly unit.

None: by 4 
{Basic:} by 5 
Advanced: by 6 
Expert: by 6, affects all friendly units "	"Increases attack, defense and speed of the selected friendly unit.

None: by 4 
Basic: by 5 
{Advanced:} by 6 
Expert: by 6, affects all friendly units "	"Increases attack, defense and speed of the selected friendly unit.

None: by 4 
Basic: by 5 
Advanced: by 6 
{Expert:} by 6, affects all friendly units "	 COMBAT_SPELL|CREATURE_TARGET_2
Mirth	Mirth	1	 	x	 	 	8	7	6	5	0	1	2	3	3	7	7	4	2	0	2	3	5	4	5	10	15	30	"Increases morale of the selected friendly unit.

{None:} by 1 
Basic: by 2 
Advanced: by 3 
Expert: by 3, affects all friendly units "	"Increases morale of the selected friendly unit.

None: by 1 
{Basic:} by 2 
Advanced: by 3 
Expert: by 3, affects all friendly units "	"Increases morale of the selected friendly unit.

None: by 1 
Basic: by 2 
{Advanced:} by 3 
Expert: by 3, affects all friendly units "	"Increases morale of the selected friendly unit.

None: by 1 
Basic: by 2 
Advanced: by 3 
{Expert:} by 3, affects all friendly units "	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Sorrow	Sorrow	1	x	 	 	 	8	7	6	5	0	1	2	3	3	4	7	4	5	9	7	5	6	5	5	10	15	30	"Reduces morale of the selected enemy unit.

{None:} by 1 
Basic: by 2 
Advanced: by 3 
Expert: by 3, affects all enemy units "	"Reduces morale of the selected enemy unit.

None: by 1 
{Basic:} by 2 
Advanced: by 3 
Expert: by 3, affects all enemy units "	"Reduces morale of the selected enemy unit.

None: by 1 
Basic: by 2 
{Advanced:} by 3 
Expert: by 3, affects all enemy units "	"Reduces morale of the selected enemy unit.

None: by 1 
Basic: by 2 
Advanced: by 3 
{Expert:} by 3, affects all enemy units "	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Fortune	Fortune	1	 	 	 	x	8	7	6	5	0	1	2	3	3	5	3	8	4	3	3	5	4	4	5	10	15	30	"Increases luck of the selected friendly unit.

{None:} by 1 
Basic: by 2 
Advanced: by 3 
Expert: by 3, affects all friendly units "	"Increases luck of the selected friendly unit.

None: by 1 
{Basic:} by 2 
Advanced: by 3 
Expert: by 3, affects all friendly units "	"Increases luck of the selected friendly unit.

None: by 1 
Basic: by 2 
{Advanced:} by 3 
Expert: by 3, affects all friendly units "	"Increases luck of the selected friendly unit.

None: by 1 
Basic: by 2 
Advanced: by 3 
{Expert:} by 3, affects all friendly units "	 COMBAT_SPELL|CREATURE_TARGET_2
Misfortune	Misfortune	1	 	 	x	 	8	7	6	5	0	1	2	3	3	2	1	2	7	2	6	5	3	5	5	10	15	30	"Reduces luck of the selected enemy unit.

{None:} by 1 
Basic: by 2 
Advanced: by 3 
Expert: by 3, affects all enemy units "	"Reduces luck of the selected enemy unit.

None: by 1 
{Basic:} by 2 
Advanced: by 3 
Expert: by 3, affects all enemy units "	"Reduces luck of the selected enemy unit.

None: by 1 
Basic: by 2 
{Advanced:} by 3 
Expert: by 3, affects all enemy units "	"Reduces luck of the selected enemy unit.

None: by 1 
Basic: by 2 
Advanced: by 3 
{Expert:} by 3, affects all enemy units "	 COMBAT_SPELL|CREATURE_TARGET_2
Haste	Haste	3	 	 	 	x	24	21	18	15	0	1	2	3	3	10	6	14	7	10	5	10	7	9	10	20	30	60	"Increases speed of the selected friendly unit.

{None:} by 1 
Basic: by 2 
Advanced: by 3 
Expert: by 3, affects all friendly units "	"Increases speed of the selected friendly unit.

None: by 1 
{Basic:} by 2 
Advanced: by 3 
Expert: by 3, affects all friendly units "	"Increases speed of the selected friendly unit.

None: by 1 
Basic: by 2 
{Advanced:} by 3 
Expert: by 3, affects all friendly units "	"Increases speed of the selected friendly unit.

None: by 1 
Basic: by 2 
Advanced: by 3 
{Expert:} by 3, affects all friendly units "	 COMBAT_SPELL|CREATURE_TARGET_2
Slow	Slow	3	x	 	 	 	24	21	18	15	0	90	80	70	70	11	20	12	14	14	20	15	15	9	10	20	30	60	"Reduces speed of the selected enemy unit.

{None:} by 10% 
Basic: by 20% 
Advanced: by 30% 
Expert: by 30%, affects all enemy units "	"Reduces speed of the selected enemy unit.

None: by 10% 
{Basic:} by 20% 
Advanced: by 30% 
Expert: by 30%, affects all enemy units "	"Reduces speed of the selected enemy unit.

None: by 10% 
Basic: by 20% 
{Advanced:} by 30% 
Expert: by 30%, affects all enemy units "	"Reduces speed of the selected enemy unit.

None: by 10% 
Basic: by 20% 
Advanced: by 30% 
{Expert:} by 30%, affects all enemy units "	 COMBAT_SPELL|CREATURE_TARGET_2
Slayer	Slayer	3	 	 	x	 	24	21	18	15	0	20	30	40	50	5	2	3	10	3	9	6	4	6	10	15	20	25	"When attacking, selected friendly unit
finishes off wounded enemy creature.
Also increases attack by 8.

{None:} below 20% hit points
Basic: below 30% hit points
Advanced: below 40% hit points
Expert: below 50% hit points"	"When attacking, selected friendly unit
finishes off wounded enemy creature.
Also increases attack by 8.

None: below 20% hit points
{Basic:} below 30% hit points
Advanced: below 40% hit points
Expert: below 50% hit points"	"When attacking, selected friendly unit
finishes off wounded enemy creature.
Also increases attack by 8.

None: below 20% hit points
Basic: below 30% hit points
{Advanced:} below 40% hit points
Expert: below 50% hit points"	"When attacking, selected friendly unit
finishes off wounded enemy creature.
Also increases attack by 8.

None: below 20% hit points
Basic: below 30% hit points
Advanced: below 40% hit points
{Expert:} below 50% hit points"	 COMBAT_SPELL|CREATURE_TARGET
Frenzy	Frenzy	2	 	 	x	 	16	14	12	10	0	50	100	150	200	4	2	3	10	3	9	6	4	6	10	15	20	25	"Selected friendly unit lowers its defense to zero to increase its attack.

{None:} by 50% of defense 
Basic: by 100% of defense 
Advanced: by 150% of defense 
Expert: by 200% of defense "	"Selected friendly unit lowers its defense to zero to increase its attack.

None: by 50% of defense 
{Basic:} by 100% of defense 
Advanced: by 150% of defense 
Expert: by 200% of defense "	"Selected friendly unit lowers its defense to zero to increase its attack.

None: by 50% of defense 
Basic: by 100% of defense 
{Advanced:} by 150% of defense 
Expert: by 200% of defense "	"Selected friendly unit lowers its defense to zero to increase its attack.

None: by 50% of defense 
Basic: by 100% of defense 
Advanced: by 150% of defense 
{Expert:} by 200% of defense "	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Titan's Lightning Bolt	Titan's Bolt	5	 	 	 	x	0	0	0	0	0	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	100	100	100	100	"Deals 1000 damage to the target. It does not depend on hero's Air Magic skill, but receives bonuses from Sorcery skill and Orb of the Firmament.
"	"Deals 1000 damage to the target. It does not depend on hero's Air Magic skill, but receives bonuses from Sorcery skill and Orb of the Firmament.
"	"Deals 1000 damage to the target. It does not depend on hero's Air Magic skill, but receives bonuses from Sorcery skill and Orb of the Firmament.
"	"Deals 1000 damage to the target. It does not depend on hero's Air Magic skill, but receives bonuses from Sorcery skill and Orb of the Firmament.
"	 COMBAT_SPELL|CREATURE_TARGET
Counterstrike	Counterstrike	2	 	 	 	x	16	14	12	10	0	1	2	3	3	8	5	11	5	5	4	7	6	6	10	15	20	40	"The selected friendly unit will retaliate against more attacks each round.

{None:} 1 more 
Basic: 2 more 
Advanced: 3 more 
Expert: 3 more, affects all friendly units "	"The selected friendly unit will retaliate against more attacks each round.

None: 1 more 
{Basic:} 2 more 
Advanced: 3 more 
Expert: 3 more, affects all friendly units "	"The selected friendly unit will retaliate against more attacks each round.

None: 1 more 
Basic: 2 more 
{Advanced:} 3 more 
Expert: 3 more, affects all friendly units "	"The selected friendly unit will retaliate against more attacks each round.

None: 1 more 
Basic: 2 more 
Advanced: 3 more 
{Expert:} 3 more, affects all friendly units "	 COMBAT_SPELL|CREATURE_TARGET_2
Berserk	Berserk	5	 	 	x	 	40	35	30	25	0	0	0	1	2	0	3	6	25	6	18	0	0	26	40	40	55	70	"                                                                                                                                   
Targeted units will randomly attack the nearest unit,
be it friend or foe.

{None:} affects an area of one tile
Basic: affects an area of one tile
Advanced: affects an area of 7 tiles (similar to Fireball)
Expert: affects an area of 19 tiles (similar to Inferno)"	"                                                                                                                                   
Targeted units will randomly attack the nearest unit,
be it friend or foe.

None: affects an area of one tile
{Basic:} affects an area of one tile
Advanced: affects an area of 7 tiles (similar to Fireball)
Expert: affects an area of 19 tiles (similar to Inferno)"	"                                                                                                                                   
Targeted units will randomly attack the nearest unit,
be it friend or foe.

None: affects an area of one tile
Basic: affects an area of one tile
{Advanced:} affects an area of 7 tiles (similar to Fireball)
Expert: affects an area of 19 tiles (similar to Inferno)"	"                                                                                                                                   
Targeted units will randomly attack the nearest unit,
be it friend or foe.

None: affects an area of one tile
Basic: affects an area of one tile
Advanced: affects an area of 7 tiles (similar to Fireball)
{Expert:} affects an area of 19 tiles (similar to Inferno)"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Hypnotize	Hypnotize	5	 	 	 	x	40	35	30	25	60	120	240	360	480	0	9	21	10	10	7	0	0	12	40	50	60	70	"Temporary gives you control over the selected enemy unit that has no more, than certain amount of hit points.

{None:} 60 * Power + 120 
Basic: 60 * Power + 240 
Advanced: 60 * Power + 360 
Expert: 60 * Power + 480 "	"Temporary gives you control over the selected enemy unit that has no more, than certain amount of hit points.

None: 60 * Power + 120 
{Basic:} 60 * Power + 240 
Advanced: 60 * Power + 360 
Expert: 60 * Power + 480 "	"Temporary gives you control over the selected enemy unit that has no more, than certain amount of hit points.

None: 60 * Power + 120 
Basic: 60 * Power + 240 
{Advanced:} 60 * Power + 360 
Expert: 60 * Power + 480 "	"Temporary gives you control over the selected enemy unit that has no more, than certain amount of hit points.

None: 60 * Power + 120 
Basic: 60 * Power + 240 
Advanced: 60 * Power + 360 
{Expert:} 60 * Power + 480 "	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Forgetfulness	Forgetfulness	3	 	x	 	 	24	21	18	15	0	0	0	0	0	12	12	7	4	8	3	5	10	9	10	15	20	25	"Some enemy creatures forget to use their ranged attack.

{None:} half of the selected unit 
Basic: half of the selected unit 
Advanced: all of the selected unit 
Expert: all enemy units "	"Some enemy creatures forget to use their ranged attack.

None: half of the selected unit 
{Basic:} half of the selected unit 
Advanced: all of the selected unit 
Expert: all enemy units "	"Some enemy creatures forget to use their ranged attack.

None: half of the selected unit 
Basic: half of the selected unit 
{Advanced:} all of the selected unit 
Expert: all enemy units "	"Some enemy creatures forget to use their ranged attack.

None: half of the selected unit 
Basic: half of the selected unit 
Advanced: all of the selected unit 
{Expert:} all enemy units "	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
